,open,high,low,close,volume
02/01/2014 8:00,748.1,748.2,746.7,746.8,39470
02/01/2014 8:01,746.9,747.1,746.8,746.8,10498
02/01/2014 8:02,746.8,747.2,746.7,747.1,7782
02/01/2014 8:03,747.2,747.8,747.1,747.6,10678
02/01/2014 8:04,747.5,747.8,747.5,747.8,3194
02/01/2014 8:05,747.7,747.8,747.6,747.6,2274
02/01/2014 8:06,747.6,747.8,747.6,747.6,2206
02/01/2014 8:07,747.6,747.7,747.2,747.2,3890
02/01/2014 8:08,747.2,747.5,747.2,747.2,4086
02/01/2014 8:09,747.3,747.4,747.2,747.3,2830
02/01/2014 8:10,747.2,747.3,747.2,747.3,306
02/01/2014 8:11,747.2,747.2,747,747.1,4186
02/01/2014 8:12,747,747.3,747,747.2,3258
02/01/2014 8:13,747.2,747.5,747.2,747.5,4366
02/01/2014 8:14,747.5,747.6,747.4,747.6,1246
02/01/2014 8:15,747.6,747.7,747.5,747.7,1862
02/01/2014 8:16,747.7,747.9,747.6,747.7,3022
02/01/2014 8:17,747.7,747.8,747.6,747.7,1902
02/01/2014 8:18,747.6,747.7,747.6,747.6,2610
02/01/2014 8:19,747.7,747.8,747.7,747.7,646
02/01/2014 8:20,747.7,747.8,747.7,747.7,862
